Student Id, Student Name,Grade, Course Name
15,Padraig Barry,93,STAT 236
39,Zachariah Hutchinson,92,STAT 240
33,Stewart Reed,90,STAT 239
54,Franciszek Hartman,90,STAT 242
6,Bodhi Stokes,86,STAT 234
21,Max Reeves,84,STAT 237
48,Saima Day,84,STAT 241
60,Sasha Prentice,84,STAT 243
42,Malia Avalos,83,STAT 240
57,Tasmin O'Connor,83,STAT 243
18,Lily-Anne Parsons,81,STAT 236
30,Najma Kline,81,STAT 238
12,Dakota O'Doherty,79,STAT 235
3,Keiran Molloy,74,STAT 234
36,Nabiha Villa,74,STAT 239
75,Onur Shelton,73,STAT 246
24,Melina Bouvet,72,STAT 237
78,Tanisha Gillespie,71,STAT 246
87,Amelia-Mae Meyer,71,STAT 248
93,Finbar Pearce,71,STAT 249
72,Hiba Cowan,69,STAT 245
63,Corey Mckee,67,STAT 244
81,Ezekiel Pike,67,STAT 247
51,Faye Sharp,66,STAT 242
66,Marley Galloway,66,STAT 244
27,Giorgio Burgess,65,STAT 238
9,Cerys Mill,63,STAT 235
90,Isaak Guzman,63,STAT 248
69,Micah Akhtar,60,STAT 245
45,Harriette Albert,58,STAT 241
84,Clay Ritter,58,STAT 247
96,Amelia Mccullough,56,STAT 249
